A. BEST vs BEST, window-equalised (persistent window both sides), medians of n>=80
   seq |                iron/mha best |                    ours best | winner
   256 |      115.7 us (12 cores, p4) |      293.9 us (12 cores, c4) | iron/mha by 2.541x
   512 |      224.9 us (12 cores, p4) |      391.9 us (12 cores, c4) | iron/mha by 1.743x
  1024 |      350.5 us (24 cores, p8) |      626.6 us (24 cores, c8) | iron/mha by 1.788x
  2048 |     1825.0 us (12 cores, p4) |     1865.6 us (12 cores, c4) | iron/mha by 1.022x
  4096 |     3356.0 us (24 cores, p8) |     3471.1 us (24 cores, c8) | iron/mha by 1.034x
  8192 |    23477.4 us (12 cores, p4) |    22929.0 us (12 cores, c4) | OURS by 1.024x

B. MATCHED-CORE comparison (12 cores: p4 vs c4; 24 cores: p8 vs c8)
   seq cores       mha      ours  ratio mha/ours
   256    12     115.7     293.9           0.394
   512    12     224.9     391.9           0.574
  1024    12     586.7     715.7           0.820
  1024    24     350.5     626.6           0.559
  2048    12    1825.0    1865.6           0.978
  4096    12    6310.6    6187.2           1.020
  4096    24    3356.0    3471.1           0.967
  8192    12   23477.4   22929.0           1.024

C. FIXED vs MARGINAL, from the heads-sweep intercept (h = 1,2,4,8)
   seq design    T(h=1)     fixed  fixed %  marginal/head
   256 mha        115.7      43.7    37.8%           70.8
   256 ours       293.9     224.3    76.3%           68.6
  1024 mha        586.7      37.6     6.4%          548.9
  1024 ours       715.7     222.1    31.0%          489.5
  4096 mha       6310.6      57.0     0.9%         6267.2
  4096 ours      6187.2     243.5     3.9%         5956.0

D. NUMERICS at every quoted point (rel_tol=4e-2, abs_tol=1.5e-1)
   seq  h cores design           errors  max abs dev
   256  1    12 mha         3/16384        1.641e-01
   256  1    12 ours        0/16384        4.004e-02
   256  2    12 mha         7/32768        2.109e-01
   256  2    12 ours        0/32768        1.016e-01
   256  4    12 mha         5/65536        1.797e-01
   256  4    12 ours        0/65536        5.469e-02
   256  8    12 mha        14/131072       1.875e-01
   256  8    12 ours        0/131072       9.375e-02
   512  1    12 mha         0/32768        1.562e-01
   512  1    12 ours        0/32768        4.883e-02
  1024  1     6 ours        0/65536        4.297e-02
  1024  1    12 mha         2/65536        1.797e-01
  1024  1    12 ours        0/65536        4.297e-02
  1024  1    24 mha         2/65536        1.797e-01
  1024  1    24 ours        0/65536        4.297e-02
  1024  2     6 ours        0/131072       7.422e-02
  1024  2    12 mha        11/131072       1.797e-01
  1024  2    12 ours        0/131072       7.422e-02
  1024  2    24 ours        0/131072       7.422e-02
  1024  4     6 ours        0/262144       5.469e-02
  1024  4    12 mha        13/262144       2.266e-01
  1024  4    12 ours        0/262144       5.469e-02
  1024  4    24 ours        0/262144       5.469e-02
  1024  8    12 mha        30/524288       2.188e-01
  1024  8    12 ours        0/524288       6.641e-02
  2048  1    12 mha        10/131072       1.797e-01
  2048  1    12 ours        0/131072       4.688e-02
  4096  1    12 mha         3/262144       2.266e-01
  4096  1    12 ours        0/262144       4.883e-02
  4096  1    24 mha         3/262144       2.266e-01
  4096  1    24 ours        0/262144       4.883e-02
  4096  2    12 mha         6/524288       2.344e-01
  4096  2    12 ours        0/524288       6.250e-02
  4096  4    12 mha        38/1048576      2.656e-01
  4096  4    12 ours        0/1048576      8.594e-02
  4096  8    12 mha        36/2097152      2.812e-01
  4096  8    12 ours        0/2097152      6.641e-02
  8192  1    12 mha         1/524288       2.344e-01
  8192  1    12 ours        0/524288       5.664e-02
